PTS,FG%,3P%,FT%,REB,AST,TOV,STL,BLK
291,44.1,38.0,87.1,70,41,23,16,8
291,47.4,35.8,78.0,162,67,33,17,3
290,41.4,35.5,71.4,113,75,45,47,18
289,49.3,34.3,82.9,90,36,30,8,14
287,66.7,0.0,75.0,236,33,40,18,33
286,45.9,41.0,69.2,64,46,24,26,8
285,41.5,30.8,77.0,112,110,59,39,11
284,44.9,37.9,61.3,136,52,27,41,14
281,39.6,30.7,66.7,74,105,31,21,6
280,42.6,40.2,96.7,164,45,26,6,6
279,41.2,35.5,80.0,140,39,27,33,14
279,45.7,32.4,72.0,232,46,38,21,60
279,44.4,32.0,85.4,78,72,30,19,10
277,40.6,37.7,91.1,64,22,29,26,5
275,39.2,24.2,70.0,188,157,76,24,15
273,51.3,50.7,74.0,129,77,22,40,16
272,44.7,36.1,80.0,77,62,36,20,7
271,50.7,32.1,76.6,172,103,43,20,7
269,46.8,37.4,72.4,89,33,16,25,18
266,48.6,27.8,72.4,137,79,52,30,24
263,60.1,0.0,36.5,189,58,34,12,35
258,33.9,25.5,76.3,71,75,67,24,9
252,39.8,31.6,84.3,74,82,48,15,8
252,65.5,0.0,72.0,178,29,30,13,51
252,38.2,27.8,80.7,56,42,49,11,4
249,41.5,41.8,92.3,103,35,12,13,6
249,39.4,35.3,80.0,69,40,21,13,8
244,35.8,30.9,62.9,84,110,76,25,6
244,50.5,45.5,76.2,173,66,29,22,10
243,44.8,35.3,72.6,96,21,26,15,23
241,46.0,40.8,88.9,82,131,24,28,2
240,37.3,28.3,62.7,172,35,38,24,33
239,42.6,41.7,80.0,52,58,25,19,5
239,45.8,41.1,73.3,76,23,14,9,2
238,45.2,25.0,72.9,63,78,36,23,1
235,47.5,40.5,81.4,63,30,16,16,10
233,38.2,38.8,82.9,66,46,15,9,2
232,44.7,39.1,78.6,71,49,18,13,4
232,45.6,39.8,78.6,50,27,14,4,2
229,54.8,27.6,60.0,222,204,85,37,28
229,47.7,30.0,75.9,146,30,26,19,22
227,37.4,29.5,82.1,77,65,24,17,4
227,43.1,36.2,63.8,145,71,28,32,16
226,44.3,37.5,74.1,50,76,41,21,6
226,53.0,19.6,78.8,101,24,24,9,16
225,44.6,40.1,76.9,88,100,32,15,4
224,46.8,43.2,88.9,32,19,26,11,2
222,66.2,66.7,65.3,136,54,29,24,37
222,53.2,0.0,61.7,275,85,52,30,18
221,54.2,30.4,60.0,101,35,13,12,12
220,42.3,29.3,79.4,118,27,27,9,7
218,44.8,36.4,83.0,96,101,39,53,9
216,43.3,32.2,76.9,60,46,29,16,4
216,39.8,41.7,60.3,81,66,43,14,4
215,44.4,30.1,76.1,92,40,25,20,6
214,73.4,0.0,61.9,189,27,27,16,38
214,50.3,40.8,72.0,132,67,28,39,17
213,54.2,15.4,69.0,224,30,33,11,30
212,43.3,36.8,80.0,61,11,8,14,8
210,44.6,32.5,70.0,151,40,22,22,23
210,45.4,41.8,75.0,97,42,24,14,22
209,51.1,45.3,86.7,94,29,18,11,17
207,58.2,61.1,76.2,192,27,29,13,13
207,39.4,33.6,100,155,37,32,38,38
204,47.1,33.3,75.0,97,52,32,38,25
204,40.2,35.8,82.4,100,29,31,10,11
202,60.4,0.0,71.4,179,8,27,6,35
201,47.1,40.5,67.6,115,50,33,19,10
201,50.3,28.0,80.0,80,115,28,25,9
200,43.2,21.4,73.3,124,9,17,11,24
200,45.6,31.5,93.9,89,66,30,21,3
195,52.0,27.1,60.0,173,52,25,29,12
194,41.2,32.6,70.4,159,23,25,14,7
194,41.5,32.0,87.5,74,32,23,20,3
193,41.7,31.7,87.1,72,23,14,10,3
192,44.7,32.1,70.0,98,104,25,20,20
190,65.8,39.5,61.3,89,20,14,35,7
187,75.2,0.0,62.5,205,15,14,13,45
186,44.9,39.4,78.9,119,25,14,19,8
185,40.3,28.6,52.8,178,33,25,12,12
183,41.4,29.5,75.0,60,20,26,16,7
182,37.0,25.3,86.2,107,33,26,26,11
181,54.7,0.0,58.5,193,39,20,14,23
180,47.1,34.9,79.2,48,52,29,16,8
180,40.0,36.2,92.9,37,32,18,14,5
179,43.3,37.1,77.3,62,25,18,7,4
179,46.3,43.2,83.3,70,12,10,7,11
177,49.6,30.0,74.2,104,16,25,9,13
177,39.4,28.6,68.8,116,21,25,25,13
177,56.5,22.2,73.0,248,34,31,44,23
176,45.0,24.4,74.4,36,23,31,10,0
175,50.3,0.0,56.4,271,56,49,30,31
175,48.9,37.7,63.9,73,22,13,20,13
173,40.3,35.9,85.7,52,91,29,29,9
173,45.0,40.0,53.1,93,49,19,24,5
169,40.6,27.8,82.8,68,43,23,19,8
167,54.4,26.9,66.7,68,17,16,14,9
166,37.3,33.3,86.7,47,32,12,15,5
165,46.8,32.0,76.5,103,27,15,30,10
164,39.9,25.7,74.2,118,16,21,17,16
163,44.9,37.0,76.9,66,20,20,4,5
162,41.5,38.3,100,62,27,23,32,19
162,36.3,34.3,95.2,58,31,12,11,8
159,57.5,35.0,69.8,127,32,21,12,14
159,39.3,34.1,81.3,36,30,23,15,2
158,45.2,46.6,83.3,56,14,16,7,2
158,43.1,29.2,63.6,46,20,14,11,8
158,53.7,0.0,53.8,135,16,24,7,9
157,42.5,27.9,82.2,47,87,35,20,5
154,57.4,30.8,83.3,78,12,12,12,21
154,38.2,36.5,79.2,83,31,26,26,15
154,58.9,0.0,37.9,163,64,27,18,21
153,39.7,28.1,69.7,74,36,24,10,10
153,34.0,31.9,92.0,79,89,37,27,11
153,38.9,38.5,80.0,38,19,12,13,2
152,40.6,40.0,100,66,20,14,22,6
152,35.4,27.4,72.7,73,23,16,8,3
152,42.3,40.7,70.0,38,10,14,11,6
150,50.4,41.5,57.9,52,29,20,10,5
149,51.5,41.8,64.7,90,25,16,11,8
149,52.4,45.0,50.0,79,24,14,19,12
148,36.7,19.7,71.4,110,49,13,13,11
148,50.9,20.0,79.6,124,36,35,10,23
147,61.0,9.1,66.7,83,26,8,7,17
145,56.8,40.9,47.6,85,29,19,23,13
145,43.0,36.6,73.9,117,20,11,7,16
144,39.7,28.2,82.8,23,26,13,14,3
141,40.4,22.4,83.3,39,49,26,11,1
140,38.2,22.8,81.0,47,27,12,9,4
140,48.6,27.8,77.3,87,23,16,11,7
137,50.9,25.0,64.3,86,62,34,18,11
136,56.6,0.0,44.4,75,54,22,20,6
135,40.9,22.0,78.3,82,21,25,20,13
135,63.2,100,71.9,112,23,16,6,5
134,43.4,38.0,71.4,73,15,13,7,3
133,48.1,39.3,76.9,104,18,16,20,10
132,42.7,43.1,88.0,27,64,35,9,0
129,52.6,40.0,63.9,89,21,24,5,21
127,35.1,20.9,50.0,117,32,31,13,13
127,49.5,45.7,71.4,31,33,26,15,1
127,44.5,34.9,93.3,20,32,14,7,0
126,46.4,29.8,87.5,49,23,21,40,26
125,45.9,34.1,60.0,53,23,15,14,7
124,50.9,22.2,55.6,110,13,6,10,4
124,62.5,75.0,60.9,134,12,23,21,17
123,36.0,36.9,83.3,62,17,10,9,4
122,56.6,0.0,76.6,110,20,17,7,6
122,54.5,47.4,50.0,104,36,14,21,5
120,43.7,21.4,66.7,82,34,18,28,11
